part_number,marking_code,package,MPQ
BZT52-B51G-LS0,XA,SOD123,3000
HER506G-G-LS0,"LSYM 
GP60-10",DO201AD,1000
LS2305BPG-T3-LS0,2305A,SOT23,3000
MMBT3904GT3R-Cu-220,1P,SOT23,3000
P4SMAJ8.5AG-LS0,LSYM AT,SMA,7500
EMB50P03K-041,23ABC,TSOP-6,3000
P4SMAJ9.0AG-L10,"LSYM
AV",SMA,7500
P6SMAJ58AG-100,LSYM NG,SMA,1800
P6KE180AG-100,LSYM P6KE180A,DO15,3000
P6SMAJ58CAG-100,LSYM DG,SMA,1800
SS14G-L10,"LSYM
SS14",SMA,7500
BZT52-B20LG-LS0,20VB,SOD123L,3000
GBU10KG-LS0,"LSYM 
GBU10K",GBU,500
MBRB2040CTG-BL01-LS0,LSYM MBRB2040CT,TO263,800
PXT2222AG-T89-LS0,1P,SOT89,1000
GESD5V0X2DL-220,XZ,DFN1006-2,10000
BZT52-B4V7G-LS0,W8,SOD123,3000
P6KE400AG-LS0,"LSYM 
P6KE400A",DO15,3000
SS210AG-730,"LSYM
S210A",SMA,1800
BZT52-B5V1LG-LS0,5V1B,SOD123L,3000
LS3416NG-T3L-LS0,D6YWW,SOT23-3L,3000
1N4743APG-LS0,"LSYM 
1N4743A",DO41,5000
BZT52-B24SG-LS0,WR,SOD323,3000
SD104EG-LS0,14,SOD123FL,3000
DTC143ZE-220,E23,SOT23,3000
PS1117G-ADJ-T43-850,"1117-AD
LSYWW",SOT223,3000
LS3406NG-T3L-850,W9 YWW,SOT23-3L,3000
BZX584B5V6G-BL01-LS0,Z3,SOD523,8000
MMDT3904G-100,.K6N,SOT363,3000
SS215AG-L10,"LSYM
SS215A",SMA,1800
SS24AG-730,"LSYM
SS24A",SMA,7500
MBR20100CTG,"MBR20100CT
AKA LSYM",TO220AB,1000
SS26AG-L10,"LSYM
SS26A",SMA,7500
FMMT591G-T3-L10,591,SOT23,3000
GP20-06-G-M2-LS0,LSYM GP20-06,DO15,3000
LESD5VD8G-LS0,.B,DFN1006-2,10000
MBR20100FCTG-LS0,"MBR20100FCT
AKA LSYM",ITO220AB,1000
1N4148WLG-LS0,D1,SOD123L,3000
SS320AG-LS0,"LSYM
SS320A",SMA,1800
BZT52-B5V6SG-L10,WA,SOD323,3000
BZT52B9V1G-L10,WF,SOD123,3000
LS2N60H-TB3FA-LS0,"2N60
LSXYWW",TO220FA,1000
MMSZ5248BG-L10,J3,SOD123,3000
SSH0540G-LS0,B04,SOD123,3000
MMBZ5235BG,KE5,SOT23,3000
BL3407A,3407A,SOT23,3000
BAV103-LS0,無,MINI-MELF,2500
BL3404,3404,SOT23,3000
MBR10200G-LS0,"MBR10200
KA LSYM",TO220AC,1000
MMSZ4678G-LS0,CC,SOD123,3000
MMSZ5260BG-LS0,M5,SOD123,3000
P6KE250AG-LS0,"LSYM
P6KE250A",DO15,3000
LS2305BPG-T3-220,2305A,SOT23,3000
MMBT2222AG-220,1P,SOT23,3000
SRV05-220,V05,SOT23-6L,3000
P6SMBJ5.0CAG-730,LSYM AE,SMB,3000
BAV99WG-LS0,KJG,SOT323,3000
BZT52-B20G-LS0,W0,SOD123,3000
SF10-06G-G-LS0,LSYM SF10-06G,DO15,3000
SS34AFG-LS0,"LSYM
SS34A",SMAF,7500
BZT52-B12SG-LS0,WI,SOD323,3000
GLS3020IPG-TC2-LS0,3020IP GLS YWW,TO252,2500
H431CG-T3-LS0,431CG,SOT23,3000
LESD5D12VG-LS0,ZM,SOD523,8000
MBRH30100FCTG-LS0,H30100FCT AKA LSYM,ITO220AB,1000
SS210AG-L10,LSYM SS210,SMB,3000
GLS4406NP-3DL8-850,NP4406 ****,3.3*3.3PDFN-8,10000
PS2314NG-T3LR-Cu-430,143V1,SOT23-3L,3000
P6SMBJ5.0AG-LS0,LSYM KE,SMB,3000
PS1117G-3.3T43-LS0,1117-33 LSYWW,SOT223,3000
D15PS200L-XR2-220,D15SDL,TO277B,5000
GBU15L06-LS0,LSYM GBU15L06,GBU,500
P6KE18CAG-LS0,LSYM P6KE18CA,DO15,3000
1N4746A-LS0,1N4746A,DO41G,5000
1N5246B-LS0,1N5246B,DO35,5000
1SMA4744G-LS0,LSYM Z15,SMA,1800
SD206EG-LS0,26,SOD123FL,3000
ZMM5246B-LS0,無,MINI-MELF,2500
SMBJ5942BG-73,LSYM 942B,SMB,3000
1N4760A-LS0,1N4760A,DO41G,2500
BZT52-B22SG-LS0,WP,SOD323,3000
LM431BG-T92-LS0,431 LSYWW,TO92,2000
SS34AG-L01,"LSYM
SS34A",SMA,7500
W06M-LS0,LSYM W06M,WOM,250
BAV70G-220,A4,SOT23,3000
BZV55-C6V2-220,無,MINI-MELF,2500
BL3404-220,3404,SOT23,3000
MA7001EAA-150,.H2YWX,SOT23-3L,3000
LS3019NG-7T3-LS0,9N,SOT723,10000
MMST4403G-3T3-LS0,K3T,SOT323,3000
MMSZ5245BSG-L10,H5,SOD323,3000
P4SMAJ20AG-L10,LSYM BV,SMA,1800
PS6200C-3.3-3T5-LS0,A0yYM,SOT353,3000
BAT54STG-LS0,L4,SOT523,3000
SS54AFG-LS0,"LSYM
SS54A",SMAF,3000
HGN070N12S-16,GMDYWXXX,DFN5*6,10000
BZT52-B5V6SGBL01-LS0,WA,SOD323,3000
US1MG-LS0,"LSYM
US1M",SMA,1800
BC847SG-3T6,W0,SOD323,3000
MT3068NDCR,"MT3068
YWWXX",DFN3*3_10L,10000
HGS650N15S-16,"GS650N15S 
_ _YM_ _ _",SOIC-8,#N/A
BZT52-B5V1SG-LS0,W9,SOD323,3000
EMB08N06VS-041,"B08N06S
Date code",EDFN3*3,10000
MBRH30100CTGBL01-LS0,"H30100CT
AKA LSYM",TO220AB,1000
BC846BG-T3-LS0,1B,SOT23,3000
BC856B-LS0,3B,SOT23,3000
BL3407A-220,3407A,SOT23,3000
BC817G-25-T3-LS0,6B,SOT23,3000
2N7002SHG-7T3-LS0,72,SOT723,10000
LHZ5C1-LS0,5C1,DO35,5000
MBRD20H100CTG-LS0,"LSYM
20H100CT",TO252,2500
P6KE170AG-LS0,"LSYM
P6KE170A",DO15,3000
3.0SMCJ30CAG-LS0,LSYM IFK,SMC,3000
MBR20200FCTG-L10,"MBR20200FCT
AKA LSYM",ITO220AB,1000
MMSZ4685G-LS0,CM,SOD123,3000
MMSZ4689G-LS0,CU,SOD123,3000
LS555G-S8-LS03-LS0,.LS555,SOP8,#N/A
SS8050G-H-LS0,Y1,SOT23,3000
EMB09P03V-041,"B09P03
Date Code",EDFN3*3,10000
LSBLC12CG-BL01-LS0,12C,SOD323,3000
P6SMBJ33CAG-BL01-LS0,"LSYM
CM",SMB,3000
1N4746APG-LS0,LSYM 1N4746A,DO41,5000
BC847AWG-3T3-LS0,1E,SOT323,3000
LL4148-L10,N/A,MINI-MELF,2500
SS520BG-LS0,LSYM SS520B,SMB,3000
MT3683NSCR-090,3683 YWWxx,SOT23-6L,3000
PS1117G-ADJ-T43-L10,"1117-AD
LS - - -",SOT223,3000
2SB1188G-R-T89-LS0,"B1188
LS YWW",SOT89,1000
MMSZ5231BSG-LS0,E1,SOD323,3000
P6SMBJ17AG-LS0,LSYM LR,SMB,3000
SD05G-LS0,5U,SOD323,3000
GLS24N60C-TA2-LS0,"24N60C
GLS yww",TO263,800
BAV23SG-220,KL31,SOT23,3000
PSR03-220,R03,SOT143,3000
BAS516G-LS0,61,SOD523,8000
LESD5VD8CG-LS0,M5,DFN1006-2,10000
P6SMBJ28AG-L10,LSYM MG,SMB,3000
5KP36CAG-LS0,LSYM 5KP36CA,DO15,250
MMSZ5256BG-L10,M1,SOD123,3000
BC857SG-3T6-LS0,3C,SOT363,3000
MURS260G-LS0,LSYM U2J,SMB,3000
EMB07P03V-41,B07P03 -------,EDFN3*3,10000
DTA144EG-T3-LS0,16,SOT23,3000
LS12L100GBLBBL01-L10,LSYM 12L100,TO277B,5000
MMSZ5250BG-LS0,J5,SOD123,3000
PS78L05FA-T92-850,"78L05
LSYWW",TO92,2000
MMSZ5226BG-LS0,G1,SOD123,3000
MMSZ5237BG-LS0,F2,SOD123,3000
P6KE150AG-LS0,LSYM P6KE150A,DO15,3000
GLS3020DPG-S8-LS0,"3020
GLS YWW",SOP8,#N/A
1N5242B-LS0,IN5242B,DO35,5000
1N5252B-LS0,IN5252B,DO35,5000
P6SMBJ6.0AG-LS0,LSYM KG,SMB,3000
LS2305BPG-T3LS01-L10,2305A,SOT23,3000
MMST2222AG-LS0,K3P,SOT323,3000
LE0402C050R180G-LS0,PB,DFN1006-2S,10000
P6SMBJ15AG-L10,LSYM LM,SMB,3000
BZV55C6V2-100,無,MINI-MELF,2500
BZV55C12-100,無,MINI-MELF,2500
BZV55C24-100,無,MINI-MELF,2500
1N5250B-LS0,1N5250B,DO35,5000
3.0SMCJ28CAG-LS0,LSYM IFG,SMC,3000
P2SMF33AG-LS0,JM,SOD123FL,2500
P6SMBJ170AG-LS0,LSYM PR,SMB,3000
RB751V-40G-LS0,5,SOD323,3000
P6SMBJ64CAG-LS0,LSYM DM,SMB,3000
MURS120G-LS0,LSYM U1D,SMA,1800
BZT52-B43G-LS0,WY,SOD123,3000
P2SMF26AG-L10,SOD123FL,CE,2500
BZT52-B20G-220,WO,SOD123,3000
MBR20100FCTG-220,"MBR20100FCT
AKA LSYM",ITO220AB,1000
MJD122G-TC2-220,"D122
LSYWW",TO252,2500
MMBT3906TG-5T3-220,3N,SOT523,3000
LS4407P-S8,4407-8,SOP8,#N/A
LS110G-LS0,"LSYM
LS110",SMA,7500
LM258-S8-LS01-LS0,LSYM LSYWW,SOP8,#N/A
PS78L05BGT89LS01-LS0,"78L05
LSYWW",SOT89,1000
P4SMAJ14CAG-LS0,"LSYM
XK",SMA,1800
EMF04P02V-41,F04P02 ABCDEFG,EDFN3*3,10000
LS4835PG-S8-LS0,"4835
LSYWW",SOP8,#N/A
MT7235NDFR-090,7235 YWxx,DFN2*3_8L,10000
P6SMBJ160AG-220,LSYM PP,SMB,3000
1N4148WSG-100,T4,SOD323,3000
ES1GG-LS0,LSYM ES1G,SMA,1800
GLS5212DNG-3T6-LS0,D52,SOT363,3000
LS2301PGT3-LS01-LS0,2301,SOT23,3000
GLS3261NG-1DLS-LS0,61,DFN1006-3,10000
GLS2231DNG-3T6-LS0,K21,SOT363,3000
MMSZ5255BG-LS0,K5,SOD123,3000
P4SMAJ180AG-LS0,LSYM ST,SMA,1800
MMSZ5231BG-LS0,E1,SOD123,3000
MMSZ5252BG-LS0,K2,SOD123,3000
SF105FLG-L10,S8,SOD123FL,2500
LST4350G-T3L-LS0,42YWW,SOD123,3000
LST5350G-T3L-LS0,53YWW,SOD123,3000
SS56G-LS0,LSYM SS56,SMC,3000
IMX8G-T6L-LS0,KX8,SOT23-6L,3000
GLS2231NG-1DL3-LS0,K21,DFN1006-3,10000
SS34G-LS0,LSYM SS34,SMC,3000
HGA130N12S,GA130N12S,TO220F,1000
HGP059N08A,GP059N08A,TO220,1000
BZV55C6V2-730,無,MINI-MELF,2500
MT3901NSPR0-090,"MT3901
YXXXXX",SOP8-EP,#N/A
2SC2412G-R-T3-LS0,BR,SOT23,3000
GLS2231NG-3T3-LS0,K21,SOT323,3000
P6KE47CAG-LS0,LSYM P6KE47CA,DO15,3000
1N4148-L10,DO35,DO35,5000
BZX584B6V2G-LS01-LS0,H5,SOD523,8000
EMB07P03V-041,"B07P03
DATE CODE",EDFN3*3,10000
BZT52-B3V3SG-220,3Z,SOD323,3000
1N4736A-LS0,1N4736A,DO41G,2500
BZX584B12G-LS0,Y2,SOD523,8000
BZX584B8V2G-LS0,Z7,SOD523,8000
BZT52-B11SG-LS0,WH,SOD323,3000
BZT52-B18G-LS0,WN,SOD123,3000
BZT52-B5V6SG-LS0,WA,SOD323,3000
MMBZ5235BG-220,KE5,SOT23,3000
DTC115EG-7T3-LS0,29,SOT723,10000
SD120EG-LS0,120,SOD123FL,3000
BZT52-B10SG-LS0,WG,SOD323,3000
BZT52-B4V7SG-LS0,W8,SOD323,3000
BZT52-B62G-LS0,XC,SOD123,3000
GLS3261NG-T3-LS0,61,SOT23,3000
MBR30150FCTGBL01-LS0,MBR30150FCT AKA LSYM,ITO220AB,1000
UF105FLG-L10,H6,SOD123FL,2500
SMCJ110CAG-730,LSYM WK,SMC,3000
MT3901NSPR-090,MT3901 YWWxx,SOP8-EP,#N/A
MT10SG-LS0,"LSYM 
SS16",TBS,3000
MT7235NDFR-090,7235 Ywxx,DFN2*3,10000
S2BG-LS0,LSYM S2B,SMB,3000
HGA130N12S-19,GA130N12S,TO220F,1000
BZX584B16G-LS0,Y5,SOD523,8000
EMH11G-5T6-LS0,H11,SOT563,3000
P4SMAJ33CAG-LS0,LSYM YM,SMA,1800
P4SMAJ5.0AG-LS0,LSYM AE,SMA,7500
RB520S-40G-LS0,D,SOD523,8000
UF107FLG-LS0,H7,SOD123FL,2500
1SMA4751G-L10,LSYM Z30,SMA,1800
BAV23AG-LS0,RA,SOT23,3000
